"filename", "language", "Markdown", "JSON", "JavaScript", "HTML", "CSS", "JavaScript JSX", "comment", "blank", "total"
"c:\Users\ADNAN\Documents\travisor\client\src\pages\TravelHistory.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 162, 0, 5, 167
"c:\Users\ADNAN\Documents\travisor\client\src\protected-routes.js", "JavaScript", 0, 0, 14, 0, 0, 0, 0, 4, 18
"c:\Users\ADNAN\Documents\travisor\client\src\service\booking-api.js", "JavaScript", 0, 0, 57, 0, 0, 0, 0, 2, 59
"c:\Users\ADNAN\Documents\travisor\client\src\service\customer-request-api.js", "JavaScript", 0, 0, 13, 0, 0, 0, 0, 2, 15
"c:\Users\ADNAN\Documents\travisor\client\src\service\flight-api.js", "JavaScript", 0, 0, 10, 0, 0, 0, 0, 2, 12
"c:\Users\ADNAN\Documents\travisor\client\src\service\travel-package-api.js", "JavaScript", 0, 0, 41, 0, 0, 0, 0, 2, 43
"c:\Users\ADNAN\Documents\travisor\client\src\service\user-api.js", "JavaScript", 0, 0, 51, 0, 0, 0, 0, 3, 54
"c:\Users\ADNAN\Documents\travisor\client\src\util\date-functions.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 1, 6
"c:\Users\ADNAN\Documents\travisor\client\src\util\formatter.js", "JavaScript", 0, 0, 43, 0, 0, 0, 3, 9, 55
"Total", "-", 38, 18186, 4352, 30, 22, 2433, 57, 386, 25504
